"","Year","AddressAssessorMunicipalityDesc","TaxClassCode","assessTotal","landTotal","improvementTotal","propertyCount","rate"
"1",2020,"Anmore","01",378328000,232933000,145395000,89,3.0543
"2",2020,"Anmore","06",26787500,13985000,12802500,10,6.8042
"3",2020,"Belcarra","01",247088600,197612200,49476400,58,2.84418
"4",2020,"Belcarra","06",2707300,2156600,550700,9,8.26792
"5",2020,"Bowen Island","01",287373100,229452700,57920400,91,3.47305
"6",2020,"Bowen Island","05",198700,187000,11700,1,14.69778
"7",2020,"Bowen Island","06",80952200,53379000,27573200,87,7.54735
"8",2020,"Burnaby","01",13988808200,10912147200,3076661000,1023,2.8411
"9",2020,"Burnaby","05",3288257100,2823129600,465127500,411,10.3229
"10",2020,"Burnaby","06",27356859516,20861831408,6495028108,3925,10.0987
"11",2020,"Coquitlam","01",5482438700,4588376500,894062200,543,3.3929
"12",2020,"Coquitlam","05",709072500,521831200,187241300,179,13.2865
"13",2020,"Coquitlam","06",7712041012,5814988311,1897052701,1258,12.0268
"14",2020,"Delta","01",1626407800,1291151400,335256400,333,3.83772104072398
"15",2020,"Delta","05",3297724600,2530948000,766776600,412,12.0911842507645
"16",2020,"Delta","06",7612363900,5872911900,1739452000,1833,12.0906611729019
"17",2020,"Langley - City","01",773084200,362788300,410295900,108,3.8089
"18",2020,"Langley - City","05",295726800,249621000,46105800,77,11.9418
"19",2020,"Langley - City","06",2391862200,1763189100,628673100,622,11.8916
"20",2020,"Langley - Township","01",6178017800,5185371200,992646600,1225,3.58111
"21",2020,"Langley - Township","05",2545480887,1784167987,761312900,372,11.35476
"22",2020,"Langley - Township","06",6798152802,4366645901,2431506901,1842,12.38966
"23",2020,"Lions Bay","01",139013200,115161600,23851600,37,2.9491
"24",2020,"Lions Bay","06",38344000,35934600,2409400,24,10.1207
"25",2020,"Maple Ridge","01",1072374902,637292001,435082901,271,4.4109
"26",2020,"Maple Ridge","05",492424900,375283000,117141900,205,13.9186
"27",2020,"Maple Ridge","06",3061263961,2194455361,866808600,1071,13.6912
"28",2020,"New Westminster","01",3278032500,1283423700,1994608800,405,3.9304
"29",2020,"New Westminster","05",253537300,183841900,69695400,53,16.3982
"30",2020,"New Westminster","06",4232587010,2912026005,1320561005,1026,14.2158
"31",2020,"North Vancouver - City","01",4099108902,2986507801,1112601101,346,2.95925
"32",2020,"North Vancouver - City","05",119940794,100727700,19213094,31,10.26387
"33",2020,"North Vancouver - City","06",6392551700,5212572100,1179979600,1368,10.03666
"34",2020,"North Vancouver - Dist","01",5597884800,4264622700,1333262100,815,2.9269
"35",2020,"North Vancouver - Dist","05",185613700,169209400,16404300,40,12.07207
"36",2020,"North Vancouver - Dist","06",5484178700,4595870100,888308600,1545,9.37931
"37",2020,"Pitt Meadows","01",350528634,203829334,146699300,70,4.2132
"38",2020,"Pitt Meadows","05",200403500,132093700,68309800,46,18.0331
"39",2020,"Pitt Meadows","06",1109274278,746093378,363180900,234,13.3676
"40",2020,"Port Coquitlam","01",659513602,511627701,147885901,117,3.7707
"41",2020,"Port Coquitlam","05",743821000,548572100,195248900,240,13.7099
"42",2020,"Port Coquitlam","06",3679576937,2562908201,1116668736,1104,12.6559
"43",2020,"Port Moody","01",1027801000,822418500,205382500,178,3.8099
"44",2020,"Port Moody","05",72592200,65572400,7019800,31,17.7261
"45",2020,"Port Moody","06",1685164710,1341911205,343253505,442,10.4579
"46",2020,"Richmond","01",7699334146,5647437846,2051896300,1333,2.90614
"47",2020,"Richmond","05",4082474500,2917550200,1164924300,589,9.24436
"48",2020,"Richmond","06",28728164104,20961872802,7766291302,7261,9.01912
"49",2020,"Surrey","01",13355318885,10640979700,2714339185,2248,3.19493
"50",2020,"Surrey","05",3894254800,2981588000,912666800,860,9.60094
"51",2020,"Surrey","06",26967856003,18990815402,7977040601,7665,10.2118
"52",2020,"Vancouver","01",106932586066,80464191401,26468394665,18483,2.56116
"53",2020,"Vancouver","05",2557062913,2452434000,104628913,393,10.60885
"54",2020,"Vancouver","06",105413995420,82873019211,22540976209,14458,9.32931
"55",2020,"West Vancouver","01",20924123400,14071323700,6852799700,4202,2.51976
"56",2020,"West Vancouver","05",6069000,6069000,0,2,24.49337
"57",2020,"West Vancouver","06",2397964100,1755872900,642091200,506,7.7005
"58",2020,"White Rock","01",1132443700,628270500,504173200,214,3.74212
"59",2020,"White Rock","05",822900,821000,1900,1,4.8337
"60",2020,"White Rock","06",692966004,536296602,156669402,310,10.04928
