"","Year","AddressAssessorMunicipalityDesc","TaxClassCode","assessTotal","landTotal","improvementTotal","propertyCount","rate"
"1",2016,"Anmore","01",236615000,138601200,98013800,83,3.9752
"2",2016,"Anmore","06",21996100,8001200,13994900,10,9.4923
"3",2016,"Belcarra","01",213383200,176215100,37168100,72,3.725537
"4",2016,"Bowen Island","01",202035700,159967600,42068100,91,4.44336
"5",2016,"Bowen Island","05",204000,189000,15000,1,19.51418
"6",2016,"Bowen Island","06",57737900,32221900,25516000,83,10.31824
"7",2016,"Burnaby","01",8142619700,5579738300,2562881400,1644,3.7914
"8",2016,"Burnaby","05",1641357100,1104831300,536525800,410,15.7139
"9",2016,"Burnaby","06",15840453812,9315847406,6524606406,3728,15.3873
"10",2016,"Coquitlam","01",2746513200,2176057200,570456000,424,4.736
"11",2016,"Coquitlam","05",424272200,266106400,158165800,180,19.9478
"12",2016,"Coquitlam","06",4666351202,2887317301,1779033901,1234,19.3959
"13",2016,"Delta","01",1153594718,810205400,343389318,335,5.2024
"14",2016,"Delta","05",1786922600,1224422200,562500400,413,17.1234
"15",2016,"Delta","06",4313912620,2586312910,1727599710,1745,17.2278
"16",2016,"Langley - City","01",342819100,138872500,203946600,95,5.7665
"17",2016,"Langley - City","05",150410600,93383000,57027600,78,17.1802
"18",2016,"Langley - City","06",1442883400,822743220,620140180,631,17.4557
"19",2016,"Langley - Township","01",2054469300,1568676200,485793100,738,5.39391
"20",2016,"Langley - Township","05",1331098600,804179100,526919500,351,16.24105
"21",2016,"Langley - Township","06",4199854322,2234516511,1965337811,1766,16.62656
"22",2016,"Maple Ridge","01",518730402,303237601,215492801,229,6.6625
"23",2016,"Maple Ridge","05",236684600,152055000,84629600,200,19.1461
"24",2016,"Maple Ridge","06",1994791083,1175146171,819644912,1045,18.8146
"25",2016,"Maple Ridge Rural","01",43944602,35070300,8874302,33,6.6625
"26",2016,"Maple Ridge Rural","06",23152801,8735200,14417601,75,18.8146
"27",2016,"North Vancouver - City","01",2259717400,1470046400,789671000,339,3.8052
"28",2016,"North Vancouver - City","05",57539400,33936500,23602900,30,19.39879
"29",2016,"North Vancouver - City","06",4086675300,2934224300,1152451000,1288,15.0744
"30",2016,"North Vancouver - Dist","01",5059390400,3730116300,1329274100,1456,3.8052
"31",2016,"North Vancouver - Dist","05",87918900,58937500,28981400,42,19.39879
"32",2016,"North Vancouver - Dist","06",3183250600,2215944600,967306000,1538,15.0744
"33",2016,"Pitt Meadows","01",236081600,197752000,38329600,71,6.0775
"34",2016,"Pitt Meadows","05",52108000,29393200,22714800,37,23.6601
"35",2016,"Pitt Meadows","06",596085078,339596378,256488700,226,18.0912
"36",2016,"Port Coquitlam","01",479564802,343413101,136151701,115,5.4029
"37",2016,"Port Coquitlam","05",491889700,327434700,164455000,245,19.9587
"38",2016,"Port Coquitlam","06",2265000326,1311907501,953092825,974,18.0294
"39",2016,"Port Moody","01",618058400,499152500,118905900,166,5.1539
"40",2016,"Port Moody","05",39068000,29603400,9464600,28,23.8346
"41",2016,"Port Moody","06",1008518711,666561506,341957205,425,15.6311
