"","Year","AddressAssessorMunicipalityDesc","TaxClassCode","assessTotal_pct","landTotal_pct","improvementTotal_pct","propertyCount_pct","rate_pct"
"1",2016,"Anmore","01",NA,NA,NA,NA,NA
"2",2017,"Anmore","01",-13.8686896435137,-0.379650392637298,-32.9435242792341,-44.578313253012,-18.5122761118937
"3",2018,"Anmore","01",65.1651916883056,55.8515299655984,84.7314399783338,78.2608695652174,-5.97042570925818
"4",2019,"Anmore","01",26.9614623625247,25.5097773151418,29.5344029518836,26.8292682926829,0.275780557470706
"5",2016,"Anmore","06",NA,NA,NA,NA,NA
"6",2017,"Anmore","06",10.2645468969499,45.4281857721342,-9.83929860163345,0,-12.5512257303288
"7",2018,"Anmore","06",9.60670242723851,15.6926778961842,3.99432552167951,0,-10.7747352696696
"8",2019,"Anmore","06",2.14227408318568,5.01411380181251,-0.803999420815582,-10,-8.13204617565653
"9",2016,"Belcarra","01",NA,NA,NA,NA,NA
"10",2017,"Belcarra","01",12.2417322450877,14.6787080108345,0.687955531759754,-22.2222222222222,-20.9342170001264
"11",2018,"Belcarra","01",25.896995887351,25.2715245158877,29.2744189526451,23.2142857142857,-6.8791852323361
"12",2019,"Belcarra","01",-0.216031858895449,-2.34603804381747,10.9294451770795,-1.44927536231884,3.68904006212201
"13",2018,"Belcarra","06",NA,NA,NA,NA,NA
"14",2019,"Belcarra","06",-6.95233659369663,-7.77516498520823,-3.23685562596335,0,-14.7843563672718
"15",2016,"Bowen Island","01",NA,NA,NA,NA,NA
"16",2017,"Bowen Island","01",7.59113364618234,12.9029878550406,-12.6076528295787,-15.3846153846154,-24.2298620863491
"17",2018,"Bowen Island","01",19.4502524468366,20.8961719346076,12.3470323112367,9.09090909090908,-1.88609753054884
"18",2019,"Bowen Island","01",21.0938486897848,22.0030007089587,16.2876843664959,13.0952380952381,5.14071033288528
"19",2016,"Bowen Island","05",NA,NA,NA,NA,NA
"20",2017,"Bowen Island","05",-0.490196078431371,0,-6.66666666666667,0,-22.549294922974
"21",2018,"Bowen Island","05",9.40886699507388,10.5820105820106,-6.42857142857143,0,-5.16816672367831
"22",2019,"Bowen Island","05",-0.315173345339936,0,-5.34351145038168,0,2.54675303291201
"23",2016,"Bowen Island","06",NA,NA,NA,NA,NA
"24",2017,"Bowen Island","06",14.692775455983,37.5226166054764,-14.1370120708575,-1.20481927710844,-23.2342918947417
"25",2018,"Bowen Island","06",14.1364094882002,12.7384208483404,16.9639596874315,6.09756097560976,-8.21841540133849
"26",2019,"Bowen Island","06",6.73595078225779,9.87547315596782,0.615405027823956,-1.14942528735632,3.81642113371574
"27",2016,"Burnaby","01",NA,NA,NA,NA,NA
"28",2017,"Burnaby","01",12.0235793401969,25.3541934036584,-16.9989645248508,-32.5425790754258,-21.0449965711874
"29",2018,"Burnaby","01",34.8285804846968,43.1812141237511,7.36456026098122,9.64833183047791,-5.14447970602973
"30",2019,"Burnaby","01",26.9161454673695,20.4607642433637,55.2227425445809,-3.04276315789473,0.0563479485824914
"31",2016,"Burnaby","05",NA,NA,NA,NA,NA
"32",2017,"Burnaby","05",17.5326258984105,30.9720316576838,-10.1422336074053,-1.70731707317073,-11.4656450658334
"33",2018,"Burnaby","05",21.7404407820914,30.718283092148,-5.20592972435134,0,-14.179640890729
"34",2019,"Burnaby","05",27.1225323793157,43.6053401928619,-41.0979305879478,0.248138957816368,-13.539930482851
"35",2016,"Burnaby","06",NA,NA,NA,NA,NA
"36",2017,"Burnaby","06",15.1109430980234,23.9348119803241,2.51220366104028,0.509656652360513,-11.5731804800062
"37",2018,"Burnaby","06",22.7246308089947,39.0765863683505,-5.5017690109889,1.49452895649853,-14.178517620255
"38",2019,"Burnaby","06",18.6471948165788,30.7074733666479,-11.9917266312052,1.65658690507493,-13.5185359629367
"39",2016,"Coquitlam","01",NA,NA,NA,NA,NA
"40",2017,"Coquitlam","01",9.80071022414892,11.8817281089854,1.86247493233482,-23.1132075471698,-22.0143581081081
"41",2018,"Coquitlam","01",48.4989548000773,62.2099207331079,-8.94722436095784,39.8773006134969,-6.48724752260789
"42",2019,"Coquitlam","01",40.4262146016414,38.7546694508399,52.9027910307474,105.701754385965,-1.76327523307661
"43",2016,"Coquitlam","05",NA,NA,NA,NA,NA
"44",2017,"Coquitlam","05",10.4687745272964,9.79450325133104,11.6032037267222,-0.555555555555554,-9.61760194106619
"45",2018,"Coquitlam","05",21.7320551846504,33.2022909934004,2.7466871669251,0.5586592178771,-13.7143427642781
"46",2019,"Coquitlam","05",15.7035593580091,25.0258108512982,-4.30018774139657,-1.66666666666667,-14.5930692241928
"47",2016,"Coquitlam","06",NA,NA,NA,NA,NA
"48",2017,"Coquitlam","06",12.1600298699506,21.7799062050507,-3.45273352944385,1.70178282009725,-12.0494537505349
"49",2018,"Coquitlam","06",25.011622085666,36.2878093214352,1.92777329950038,-0.478087649402392,-16.5339883227425
"50",2019,"Coquitlam","06",20.9957415333649,25.3293379307761,9.13371536517731,0.800640512409934,-15.5320508768603
"51",2016,"Delta","01",NA,NA,NA,NA,NA
"52",2017,"Delta","01",35.5272324504523,51.2389197850323,-1.54350112894309,-2.98507462686567,0.586715874724497
"53",2018,"Delta","01",5.79664682508914,10.9517814967667,-12.887253685493,-0.307692307692309,-24.7648156665579
"54",2019,"Delta","01",13.9066750710282,13.3311404397551,16.563430437524,16.358024691358,-1.8202536340636
"55",2016,"Delta","05",NA,NA,NA,NA,NA
"56",2017,"Delta","05",15.5708646809884,6.5270623155967,35.256952706167,-0.726392251815977,-0.0547727365702633
"57",2018,"Delta","05",16.3601265353578,15.0739108868003,18.5651971442951,-1.21951219512195,-11.589390485809
"58",2019,"Delta","05",15.8925937100113,36.1635269570158,-17.8363002910643,1.72839506172839,-16.205354977967
"59",2016,"Delta","06",NA,NA,NA,NA,NA
"60",2017,"Delta","06",22.7724009857205,32.9558765571023,7.52717132604752,1.31805157593123,-6.37745199817249
"61",2018,"Delta","06",15.1628720920162,18.5533820636266,8.88673693399327,2.43212669683257,-4.34238120957955
"62",2019,"Delta","06",11.022002391118,25.1380633932567,-17.4278326642022,1.21479845389287,-12.9316322869657
"63",2016,"Langley - City","01",NA,NA,NA,NA,NA
"64",2017,"Langley - City","01",16.455850913791,28.9858683324632,7.92383888723813,-5.26315789473685,-21.5347264371803
"65",2018,"Langley - City","01",18.75256272717,9.55462052109717,26.2379660801338,4.44444444444445,-9.53212367670785
"66",2019,"Langley - City","01",46.1032952379385,71.8234290847923,27.9381671108974,18.0851063829787,-6.9502125372551
"67",2016,"Langley - City","05",NA,NA,NA,NA,NA
"68",2017,"Langley - City","05",17.280497518127,39.191287493441,-18.5985382516536,0,-9.8433079940862
"69",2018,"Langley - City","05",18.737964300919,19.9721497757364,15.2822088136265,-1.28205128205128,-12.3344803765228
"70",2019,"Langley - City","05",21.9346737866812,33.6755567810903,-12.2775644439461,1.29870129870129,-12.0542618532102
"71",2016,"Langley - City","06",NA,NA,NA,NA,NA
"72",2017,"Langley - City","06",14.8209896932767,26.2809093704838,-0.382945675282642,-0.475435816164815,-16.367146548119
"73",2018,"Langley - City","06",14.8433151268189,14.9672017690022,14.6349606059181,0.318471337579629,-10.5440895422195
"74",2019,"Langley - City","06",14.1766647109703,26.4444206310403,-6.51523895714492,-0.476190476190474,-8.94221786605817
"75",2016,"Langley - Township","01",NA,NA,NA,NA,NA
"76",2017,"Langley - Township","01",20.6463489135613,30.2992421253029,-10.523842351816,-12.3306233062331,-22.6323761427239
"77",2018,"Langley - Township","01",91.1527085272735,93.1428870985197,81.7941583135673,62.7511591962906,-11.079187374495
"78",2019,"Langley - Township","01",37.4134973685159,40.8736969303716,20.1266231828954,32.0037986704653,-3.49467364092282
"79",2016,"Langley - Township","05",NA,NA,NA,NA,NA
"80",2017,"Langley - Township","05",13.6218834577694,13.4207168527508,13.9289018531294,0.56980056980056,-10.0225662749638
"81",2018,"Langley - Township","05",19.5942619880611,22.9917979900794,14.432106818836,2.54957507082152,-12.2168329081493
"82",2019,"Langley - Township","05",18.217948893022,30.3460314140867,-1.58762299813014,2.20994475138121,-11.4845650140318
"83",2016,"Langley - Township","06",NA,NA,NA,NA,NA
"84",2017,"Langley - Township","06",16.5095507329361,23.2928594368305,8.7971792448255,0.849377123442818,-8.73716511413065
"85",2018,"Langley - Township","06",12.8663177413329,17.7022767237355,6.63543962012569,1.01066816395283,-10.8916182885447
"86",2019,"Langley - Township","06",12.5950501131317,18.0342695556793,4.8595832852248,0.722623679822121,-8.36856815117605
"87",2018,"Lions Bay","01",NA,NA,NA,NA,NA
"88",2019,"Lions Bay","01",-3.14080719113061,-3.78961007126224,0.910522172658101,0,6.24324519057571
"89",2018,"Lions Bay","06",NA,NA,NA,NA,NA
"90",2019,"Lions Bay","06",-5.76931346256124,-5.69392013315162,-6.91462074019787,0,-8.80609118760138
"91",2016,"Maple Ridge","01",NA,NA,NA,NA,NA
"92",2017,"Maple Ridge","01",12.8956004394745,16.7575854156688,7.46108451205292,-7.4235807860262,-23.2210131332082
"93",2018,"Maple Ridge","01",22.3003231005969,22.2489068095505,22.3789343895155,11.7924528301887,-9.49094889940181
"94",2019,"Maple Ridge","01",35.0483467922882,39.3143383797492,28.5329257904792,17.7215189873418,-4.73012376077238
"95",2016,"Maple Ridge","05",NA,NA,NA,NA,NA
"96",2017,"Maple Ridge","05",19.2946224638189,21.7079346289172,14.9585960467732,-2,-9.343417197236
"97",2018,"Maple Ridge","05",15.6369708732362,21.8696876198916,3.7811057776316,1.53061224489797,-10.7488535017169
"98",2019,"Maple Ridge","05",13.1249515701679,19.3096702650623,-0.690122375890878,2.01005025125629,-10.1533098796114
"99",2016,"Maple Ridge","06",NA,NA,NA,NA,NA
"100",2017,"Maple Ridge","06",16.807394210715,23.1531548767647,7.70931254191694,0.191387559808609,-9.37569759654736
"101",2018,"Maple Ridge","06",11.2788845799534,16.3072240651488,3.03592782288944,0.573065902578795,-10.7145789590982
"102",2019,"Maple Ridge","06",8.10300998451463,16.194055015767,-6.86903257247596,-1.61443494776828,-10.0665409854372
"103",2016,"Maple Ridge Rural","01",NA,NA,NA,NA,NA
"104",2017,"Maple Ridge Rural","01",-9.12239687595759,-12.0409577334668,2.41144599316092,-9.09090909090909,0
"105",2018,"Maple Ridge Rural","01",20.1365686893322,34.2611232676878,-27.8049769698429,3.33333333333334,0
"106",2019,"Maple Ridge Rural","01",50.4978385597866,52.9346004703473,35.1165264327913,9.6774193548387,0
"107",2016,"Maple Ridge Rural","06",NA,NA,NA,NA,NA
"108",2017,"Maple Ridge Rural","06",4.72210684141414,15.7844124919865,-1.9802184843373,-1.33333333333333,0
"109",2018,"Maple Ridge Rural","06",8.22977682061128,27.1722365038561,-5.32687956306002,0,0
"110",2019,"Maple Ridge Rural","06",5.05039707903905,11.6714092456967,-1.31471741311449,-1.35135135135135,0
"111",2016,"New Westminster","01",NA,NA,NA,NA,NA
"112",2017,"New Westminster","01",19.1766924403398,13.5674070963918,23.4496603687843,-3.53260869565217,-20.0488685472548
"113",2018,"New Westminster","01",26.6192302489528,20.0910962029484,31.1940603966346,6.47887323943661,-6.92651553163345
"114",2019,"New Westminster","01",26.116657188725,25.8909803126671,26.2614241998577,16.4021164021164,-3.68791198020044
"115",2016,"New Westminster","05",NA,NA,NA,NA,NA
"116",2017,"New Westminster","05",12.8203866998158,16.873336138059,2.5600039303693,-3.57142857142857,-9.00615172023409
"117",2018,"New Westminster","05",-13.4222726017643,-16.9633008589464,-3.20678310587824,-3.70370370370371,-11.7029548989113
"118",2019,"New Westminster","05",25.2258548557332,21.7004187949219,33.9509020497837,1.92307692307692,-15.0506384852488
"119",2016,"New Westminster","06",NA,NA,NA,NA,NA
"120",2017,"New Westminster","06",9.57354707565257,12.1982679024534,5.92449603287466,-1.35265700483091,-9.39804777859611
"121",2018,"New Westminster","06",14.2891249157033,22.9728245571257,1.50145668190438,1.17531831537707,-8.93946853210903
"122",2019,"New Westminster","06",20.3844295996573,27.2551013550133,8.1263442429649,-0.677637947725074,-10.6317973219337
"123",2016,"North Vancouver - City","01",NA,NA,NA,NA,NA
"124",2017,"North Vancouver - City","01",28.9335117745254,33.0912343991319,21.1935223656434,-5.89970501474927,-17.5325869862294
"125",2018,"North Vancouver - City","01",18.0375921604458,24.4568306032156,4.91443268085299,11.2852664576802,-6.10602125523813
"126",2019,"North Vancouver - City","01",22.5763886582867,34.870442584943,-7.2385220564413,19.4366197183099,0.434761950014262
"127",2016,"North Vancouver - City","05",NA,NA,NA,NA,NA
"128",2017,"North Vancouver - City","05",12.034014953232,30.2733045540937,-14.1906291176084,-10,-28.7652992789757
"129",2018,"North Vancouver - City","05",30.793144048511,50.9651618857187,-13.2391932258622,0,-12.3133412984028
"130",2019,"North Vancouver - City","05",27.557779778234,20.4199754277666,54.6684460024698,3.7037037037037,-15.2945458206687
"131",2016,"North Vancouver - City","06",NA,NA,NA,NA,NA
