"","Municipalities","2016","2017","2018"
"1","Anmore",4265156,4627081,4881334
"2","Belcarra",1855564,1931623,2067747
"3","Bowen Island",7219146,7497379,8121276
"4","Burnaby",432220186,450355493,474814512
"5","Coquitlam",216182822,227096791,240417810
"6","Delta",192862492,208509386,210564865
"7","Langley - City",37056327,190218801,201523378
"8","Langley - Township",180361779,38227355,40259997
"9","Lions Bay",2152138,2337089,2459587
"10","Maple Ridge",97232843,103257133,109137582
"11","North Vancouver - City",89284753,94275663,98708171
"12","North Vancouver - Dist",145586665,154117460,163829833
"13","Pitt Meadows",24871507,26483421,27853805
"14","Port Coquitlam",84721363,89609311,92674259
"15","Port Moody",50587243,54750183,57661906
"16","Richmond",358738675,382830769,398658518
"17","Surrey",555370000,5.97e+08,636460000
"18","Vancouver",1357194000,1495095000,1536009000
"19","West Vancouver",122852194,130516395,131670339
"20","White Rock",30725883,32348682,32939664
